STATION_ID,OBTAINED_DATE,SURFACE_TEMP,SURFACE_CONDITION
RTOI4,1/23/2019 10:40,19.22,Ice Warning
RTOI4,1/23/2019 10:50,19.04,Ice Warning
RTOI4,1/23/2019 11:00,19.04,Ice Warning
RTOI4,1/23/2019 11:20,19.58,Ice Warning
RTOI4,1/23/2019 11:30,19.58,Ice Warning
RTOI4,1/23/2019 11:40,19.76,Ice Warning
RTOI4,1/23/2019 11:50,19.58,Ice Warning
RTOI4,1/23/2019 12:20,18.86,Ice Warning
RTOI4,1/23/2019 12:40,18.68,Ice Warning
RTOI4,1/23/2019 13:00,18.32,Ice Warning
RTOI4,1/23/2019 13:40,17.42,Ice Warning
RTOI4,1/23/2019 13:50,16.34,Ice Warning
RTOI4,1/23/2019 14:00,16.34,Ice Warning
RTOI4,1/23/2019 14:10,16.34,Ice Warning
RTOI4,1/23/2019 14:20,16.34,Ice Warning
RTOI4,1/23/2019 14:40,17.42,Ice Warning
RTOI4,1/23/2019 14:50,18.14,Ice Warning
RTOI4,1/23/2019 15:00,18.68,Ice Warning
RTOI4,1/23/2019 15:20,20.66,Chemically Wet
RTOI4,1/23/2019 15:30,22.28,Chemically Wet
RTOI4,1/23/2019 15:50,24.44,Chemically Wet
RTOI4,1/23/2019 16:30,30.02,Chemically Wet
RTOI4,1/23/2019 17:20,36.5,Wet
RTOI4,1/23/2019 17:30,37.4,Wet
RTOI4,1/23/2019 21:00,41.36,Dry
RTOI4,1/24/2019 2:10,20.12,Dry
RTOI4,1/24/2019 6:50,16.16,Ice Watch
RTOI4,1/24/2019 8:10,15.98,Ice Watch
RTOI4,1/24/2019 8:20,15.98,Ice Watch
RTOI4,1/24/2019 8:30,15.8,Ice Watch
RTOI4,1/24/2019 8:40,15.8,Ice Watch
RTOI4,1/24/2019 8:50,15.8,Ice Watch
RTOI4,1/24/2019 9:10,15.62,Ice Watch
RTOI4,1/24/2019 9:30,16.52,Ice Watch
RTOI4,1/24/2019 9:40,17.96,Ice Watch
RTOI4,1/24/2019 13:00,17.96,Ice Watch
RTOI4,1/24/2019 13:20,17.24,Ice Watch
RTOI4,1/24/2019 13:50,17.06,Ice Watch
RTOI4,1/24/2019 14:00,17.06,Ice Watch
RTOI4,1/24/2019 14:30,17.78,Ice Watch
RTOI4,1/24/2019 15:20,20.12,Ice Watch
RTOI4,1/24/2019 20:30,28.58,Dry
RTOI4,1/25/2019 1:40,8.78,Dry
RTOI4,1/25/2019 2:00,8.42,Dry
RTOI4,1/25/2019 2:20,7.88,Dry
RTOI4,1/25/2019 2:30,7.52,Dry
RTOI4,1/25/2019 2:40,7.34,Dry
RTOI4,1/25/2019 2:50,7.16,Dry
RTOI4,1/25/2019 3:20,6.62,Dry
RTOI4,1/25/2019 3:40,6.26,Dry
RTOI4,1/25/2019 3:50,6.08,Dry
RTOI4,1/25/2019 4:10,5.72,Dry
RTOI4,1/25/2019 4:40,5.18,Dry
RTOI4,1/25/2019 5:00,4.82,Dry
RTOI4,1/25/2019 5:10,4.64,Dry
RTOI4,1/25/2019 5:20,4.64,Dry
RTOI4,1/25/2019 5:30,4.46,Dry
RTOI4,1/25/2019 5:40,4.28,Dry
RTOI4,1/25/2019 6:20,3.56,Dry
RTOI4,1/25/2019 6:30,3.38,Dry
RTOI4,1/25/2019 6:50,3.02,Dry
RTOI4,1/25/2019 7:00,3.02,Dry
RTOI4,1/25/2019 7:10,2.84,Dry
RTOI4,1/25/2019 7:20,2.84,Dry
RTOI4,1/25/2019 7:30,2.66,Dry
RTOI4,1/25/2019 7:40,2.66,Dry
RTOI4,1/25/2019 7:50,2.66,Dry
RTOI4,1/25/2019 8:00,2.48,Dry
RTOI4,1/25/2019 8:10,2.12,Dry
RTOI4,1/25/2019 8:40,1.94,Dry
RTOI4,1/25/2019 9:00,1.94,Dry
RTOI4,1/25/2019 9:10,1.76,Dry
RTOI4,1/25/2019 9:20,1.76,Dry
RTOI4,1/25/2019 9:30,1.76,Dry
RTOI4,1/25/2019 9:40,1.76,Dry
RTOI4,1/25/2019 9:50,1.58,Dry
RTOI4,1/25/2019 10:00,1.58,Dry
RTOI4,1/25/2019 10:10,1.4,Dry
RTOI4,1/25/2019 10:20,1.22,Dry
RTOI4,1/25/2019 10:30,0.86,Dry
RTOI4,1/25/2019 10:50,0.5,Dry
RTOI4,1/25/2019 12:00,1.22,Dry
RTOI4,1/25/2019 12:10,2.48,Dry
RTOI4,1/25/2019 12:30,3.56,Dry
RTOI4,1/25/2019 12:50,3.56,Dry
RTOI4,1/25/2019 13:00,3.92,Dry
RTOI4,1/25/2019 13:20,4.82,Dry
RTOI4,1/25/2019 13:30,5.18,Dry
RTOI4,1/25/2019 13:40,5.36,Dry
RTOI4,1/25/2019 14:00,6.26,Dry
RTOI4,1/25/2019 14:20,7.34,Dry
RTOI4,1/25/2019 14:30,7.7,Dry
RTOI4,1/25/2019 14:40,8.06,Dry
RTOI4,1/25/2019 14:50,8.96,Dry
RTOI4,1/25/2019 15:20,10.76,Dry
RTOI4,1/26/2019 2:00,12.2,Dry
RTOI4,1/26/2019 3:40,10.76,Dry
RTOI4,1/26/2019 4:50,8.42,Dry
RTOI4,1/26/2019 5:10,7.88,Dry
RTOI4,1/26/2019 5:20,7.52,Dry
